router: 1, pid: 7149, port: 56772
router: 1, rule installed (255.255.255.255, 65535, 255.255.255.255, 65535, 65535) action 3
router: 1, rule installed (10.0.2.15, 59858, 128.52.129.126, 443, 6) action 1
router: 1, rule installed (128.52.129.126, 443, 10.0.2.15, 59858, 6) action 1
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 52257,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 40474,(128.52.129.126, 443, 10.0.2.15, 59858, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
router 1 closed
