router: 1, pid: 2747, port: 43052
router: 1, rule installed (255.255.255.255, 65535, 255.255.255.255, 65535, 65535) action 3
router: 1, rule installed (10.0.2.15, 52928, 128.52.130.149, 80, 6) action 1
router: 1, rule installed (128.52.130.149, 80, 10.0.2.15, 52928, 6) action 1
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 52928, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 52928, 6)
TCP from port : 40308,(10.0.2.15, 52928, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 52928, 128.52.130.149, 80, 6)
router 1 closed
