router: 2, pid: 2797, port: 39926
router: 2, rule installed (255.255.255.255, 65535, 255.255.255.255, 65535, 65535) action 3
router: 2, rule installed (10.0.2.15, 50006, 128.52.129.126, 443, 6) action 1
router: 2, rule installed (128.52.129.126, 443, 10.0.2.15, 50006, 6) action 1
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50006, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 50006, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 50006, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 50006, 6)
router 2 closed
