router: 1, pid: 32595, port: 47901
router: 1, rule installed (255.255.255.255, 65535, 255.255.255.255, 65535, 65535) action 3
router: 1, rule installed (10.0.2.15, 35822, 128.52.130.149, 80, 6) action 1
router: 1, rule installed (128.52.130.149, 80, 10.0.2.15, 35822, 6) action 1
TCP from port : 36518,(10.0.2.15, 35822, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 35822, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 35822, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 35822, 6)
TCP from port : 36518,(10.0.2.15, 35822, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 35822, 128.52.130.149, 80, 6)
TCP from port : 36518,(10.0.2.15, 35822, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 35822, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 35822, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 35822, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 35822, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 35822, 6)
TCP from port : 36518,(10.0.2.15, 35822, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 35822, 128.52.130.149, 80, 6)
TCP from port : 36518,(10.0.2.15, 35822, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 35822, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.201.2, 35822, 6)
router: 1, rule hit (128.52.130.149, 80, 10.0.2.15, 35822, 6)
TCP from port : 36518,(10.0.2.15, 35822, 128.52.130.149, 80, 6)
router: 1, rule hit (10.0.2.15, 35822, 128.52.130.149, 80, 6)
router 1 closed
