router: 2, pid: 7150, port: 40474
router: 2, rule installed (255.255.255.255, 65535, 255.255.255.255, 65535, 65535) action 3
router: 2, rule installed (10.0.2.15, 59858, 128.52.129.126, 443, 6) action 1
router: 2, rule installed (128.52.129.126, 443, 10.0.2.15, 59858, 6) action 1
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from port : 56772,(10.0.2.15, 59858, 128.52.129.126, 443, 6)
router: 2, rule hit (10.0.2.15, 59858, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.202.2, 59858, 6)
router: 2, rule hit (128.52.129.126, 443, 10.0.2.15, 59858, 6)
router 2 closed
