router: 3, pid: 8100, port: 46422
router: 3, rule installed (255.255.255.255, 65535, 255.255.255.255, 65535, 65535) action 3
router: 3, rule installed (10.0.2.15, 35905, 128.52.130.149, 80, 6) action 1
router: 3, rule installed (128.52.130.149, 80, 10.0.2.15, 35905, 6) action 1
TCP from port : 46969,(10.0.2.15, 35905, 128.52.130.149, 80, 6)
router: 3, rule hit (10.0.2.15, 35905, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from port : 46969,(10.0.2.15, 35905, 128.52.130.149, 80, 6)
router: 3, rule hit (10.0.2.15, 35905, 128.52.130.149, 80, 6)
TCP from port : 46969,(10.0.2.15, 35905, 128.52.130.149, 80, 6)
router: 3, rule hit (10.0.2.15, 35905, 128.52.130.149, 80, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
TCP from raw sock, (128.52.130.149, 80, 192.168.203.2, 35905, 6)
router: 3, rule hit (128.52.130.149, 80, 10.0.2.15, 35905, 6)
router 3 closed
